Gender,Age,Dur,ppv
Male,14,15,12.20785902
Male,14,16,12.83871668
Male,14,17,13.45043436
Male,14,18,14.04358552
Male,14,19,14.61872568
Male,14,20,15.17638867
Male,14,21,15.71708375
Male,14,22,16.24129641
Male,14,23,16.74948908
Male,14,24,17.24210193
Male,14,25,17.7195538
Male,14,26,18.18224294
Male,14,27,18.63054789
Male,14,28,19.06482837
Male,14,29,19.4854262
Male,14,30,19.89266613
Male,14,31,20.28685678
Male,14,32,20.66829154
Male,14,33,21.03724953
Male,14,34,21.39399648
Male,14,35,21.73878566
Male,14,36,22.07185883
Male,14,37,22.39344721
Male,14,38,22.70376633
Male,14,39,23.00302676
Male,14,40,23.29142601
Male,14,41,23.56914878
Male,14,42,23.83636727
Male,14,43,24.09324157
Male,14,44,24.33992015
Male,14,45,24.57654043
Male,14,46,24.80322939
Male,14,47,25.02010438
Male,14,48,25.22727416
Male,14,49,25.42483991
Male,14,50,25.61289661
Male,15,5,4.707120445
Male,15,6,5.564980706
Male,15,7,6.39690527
Male,15,8,7.203668397
Male,15,9,7.986021535
Male,15,10,8.744693982
Male,15,11,9.480393533
Male,15,12,10.1938071
Male,15,13,10.88560133
Male,15,14,11.55642318
Male,15,15,12.2069005
Male,15,16,12.83764259
Male,15,17,13.44924074
Male,15,18,14.04226774
Male,15,19,14.61727403
Male,15,20,15.17478473
Male,15,21,15.71530038
Male,15,22,16.23929783
Male,15,23,16.74723094
Male,15,24,17.23953154
Male,15,25,17.71661031
Male,15,26,18.17885753
Male,15,27,18.62664413
Male,15,28,19.06032254
Male,15,29,19.48022762
Male,15,30,19.88667759
Male,15,31,20.27997496
Male,15,32,20.66040754
Male,15,33,21.02824931
Male,15,34,21.38376142
Male,15,35,21.72719316
Male,15,36,22.05878294
Male,15,37,22.37875298
Male,15,38,22.6873204
Male,15,39,22.98468886
Male,15,40,23.2710488
Male,15,41,23.54657777
Male,15,42,23.81144086
Male,15,43,24.06579114
Male,15,44,24.30977031
Male,15,45,24.54350928
Male,15,46,24.76712909
Male,15,47,24.98074184
Male,15,48,25.18445188
Male,15,49,25.37835714
Male,15,50,25.56255072
Male,16,4,3.822458491
Male,16,5,4.70700899
Male,16,6,5.564816866
Male,16,7,6.396680467
Male,16,8,7.203374622
Male,16,9,7.98565132
Male,16,10,8.744240375
Male,16,11,9.479850074
Male,16,12,10.1931678
Male,16,13,10.88486064
Male,16,14,11.55557598
Male,16,15,12.20594208
Male,16,16,12.83656862
Male,16,17,13.44804622
Male,16,18,14.04094243
Male,16,19,14.61579872
Male,16,20,15.1731312
Male,16,21,15.71343156
Male,16,22,16.23716777
Male,16,23,16.74478511
Male,16,24,17.23670702
Male,16,25,17.71333594
Male,16,26,18.17505434
Male,16,27,18.6222256
Male,16,28,19.055195
Male,16,29,19.47429068
Male,16,30,19.87982454
Male,16,31,20.27209336
Male,16,32,20.65137963
Male,16,33,21.01795264
Male,16,34,21.37206942
Male,16,35,21.71397581
Male,16,36,22.04390094
Male,16,37,22.36206868
Male,16,38,22.66868904
Male,16,39,22.96395838
Male,16,40,23.24805976
Male,16,41,23.52116342
Male,16,42,23.78342719
Male,16,43,24.03499718
Male,16,44,24.27600838
Male,16,45,24.50658557
Male,16,46,24.72684436
Male,16,47,24.93689235
Male,16,48,25.1368305
Male,16,49,25.32675481
Male,16,50,25.50675822
Male,17,3,2.910307973
Male,17,4,3.822390252
Male,17,5,4.706897538
Male,17,6,5.564653031
Male,17,7,6.396455673
Male,17,8,7.203080861
Male,17,9,7.985281125
Male,17,10,8.743786796
Male,17,11,9.479306653
Male,17,12,10.19252855
Male,17,13,10.88412001
Male,17,14,11.55472886
Male,17,15,12.20498376
Male,17,16,12.83549369
Male,17,17,13.4468439
Male,17,18,14.03959268
Male,17,19,14.61427223
Male,17,20,15.17138952
Male,17,21,15.71142711
Male,17,22,16.23484413
Male,17,23,16.74207719
Male,17,24,17.23354126
Male,17,25,17.70963072
Male,17,26,18.17072025
Male,17,27,18.6171659
Male,17,28,19.049306
Male,17,29,19.46746217
Male,17,30,19.87194042
Male,17,31,20.26303204
Male,17,32,20.64101469
Male,17,33,21.00615342
Male,17,34,21.3587017
Male,17,35,21.6988958
Male,17,36,22.02696657
Male,17,37,22.34313054
Male,17,38,22.64759018
Male,17,39,22.94053427
Male,17,40,23.22213832
Male,17,41,23.4925651
Male,17,42,23.75196524
Male,17,43,24.00047795
Male,17,44,24.23823189
Male,17,45,24.46534628
Male,17,46,24.68193204
Male,17,47,24.8880933
